date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:06	1041/1041	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2000:26:21%20GMT	http://sp0m.com/en	C:/My%20Web%20Sites/bb/sp0m.com/en.html	(from )
01:33:07	521/521	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Nov%202021%2000:26:21%20GMT	http://sp0m.com/robots.txt		(from )
01:33:08	729/729	---MCZ	200	added ('OK')	text/css	etag:W/%22617f342d-2d9%22	http://sp0m.com/css/app.6a88f6d4.css	C:/My%20Web%20Sites/bb/sp0m.com/css/app.6a88f6d4.css	(from http://sp0m.com/en)
01:33:12	497501/497501	---MCZ	200	added ('OK')	text/css	etag:W/%22617f342d-7975d%22	http://sp0m.com/css/chunk-vendors.6bb815e2.css	C:/My%20Web%20Sites/bb/sp0m.com/css/chunk-vendors.6bb815e2.css	(from http://sp0m.com/en)
01:33:13	69048/69048	---MCZ	200	added ('OK')	application/javascript	etag:W/%22617f342d-10db8%22	http://sp0m.com/js/app.deb04eea.js	C:/My%20Web%20Sites/bb/sp0m.com/js/app.deb04eea.js	(from http://sp0m.com/en)
01:33:14	305022/305022	---M-Z	200	added ('OK')	text/css	etag:W/%224a77e-zA2GoL0mTEDvUuLc3XyUhUKPyv0%22	https://cdn.jsdelivr.net/npm/@mdi/font@latest/css/materialdesignicons.min.css	C:/My%20Web%20Sites/bb/cdn.jsdelivr.net/npm/@mdi/font@latest/css/materialdesignicons.min.css	(from http://sp0m.com/en)
01:33:18	107935/107935	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22617f342d-1a59f%22	http://sp0m.com/favicon.ico	C:/My%20Web%20Sites/bb/sp0m.com/favicon.ico	(from http://sp0m.com/en)
01:33:31	77983/77983	---M--	200	added ('OK')	image/gif	etag:%2284a28fbba1fb28c4939df25a16bf7b0a%22	https://i.imgur.com/xcIB3MT.gif	C:/My%20Web%20Sites/bb/i.imgur.com/xcIB3MT.gif	(from http://sp0m.com/css/app.6a88f6d4.css)
01:33:32	626164/626164	---MCZ	200	added ('OK')	application/javascript	etag:W/%22617f342d-98df4%22	http://sp0m.com/js/chunk-vendors.818990ae.js	C:/My%20Web%20Sites/bb/sp0m.com/js/chunk-vendors.818990ae.js	(from http://sp0m.com/en)
01:33:32	76736/76736	---M--	200	added ('OK')	application/octet-stream	etag:%22617f342d-12bc0%22	http://sp0m.com/fonts/fa-brands-400.ed311c7a.woff2	C:/My%20Web%20Sites/bb/sp0m.com/fonts/fa-brands-400.ed311c7a.woff2	(from http://sp0m.com/css/chunk-vendors.6bb815e2.css)
